Project_code,MPA,Year,Transect,Inside_Outside,Depth_m,Relief_cm,Flat_Rock,Cobble,Boulder,Sand,Macro_count,Macro_dens,Pterygophora,Laminaria,Eisenia,Egregia,Cystoseira,Plocamium,Other_Red,Coralline,Surfgrass,Lob_50,Lob_50-65,Lob_65-80,Lob_legal,Lob_total,Lob_dens
SC_lobster,South La Jolla State Marine Reserve,2013,17,Outside,12.2,1.5,68.50,7.25,13.50,10.75,2.05,0.171,22.50,36.25,13.25,0.00,4.25,4.00,53.00,15.50,0.00,0,1,0,0,1,0.004
SC_lobster,South La Jolla State Marine Reserve,2013,18,Outside,12.8,0.2,22.75,8.25,24.50,44.50,1.15,0.096,23.00,17.55,12.50,0.00,4.75,1.25,39.75,10.00,0.00,1,17,5,4,27,0.113
SC_lobster,South La Jolla State Marine Reserve,2013,19,Outside,13.6,2.9,24.75,4.25,26.45,44.55,3.75,0.313,9.00,12.25,5.75,0.00,2.50,0.50,40.50,5.50,0.00,0,10,16,5,31,0.129
SC_lobster,Swami's State Marine Conservation Area,2012,1,Inside,9.1,14.3,81.75,8.75,0.50,9.00,1.55,0.129,2.25,0.40,0.00,4.45,1.00,15.50,28.50,0.00,0.00,0,5,10,9,24,0.100
SC_lobster,Swami's State Marine Conservation Area,2012,2,Inside,7.9,2.8,92.50,4.75,0.00,2.75,1.3,0.108,0.25,0.40,23.75,1.00,0.00,6.75,35.25,0.00,0.00,0,0,2,1,3,0.013
SC_lobster,Swami's State Marine Conservation Area,2012,3,Inside,9.8,7.1,76.05,14.00,3.25,4.00,1.35,0.113,7.50,1.25,0.00,1.00,0.00,9.00,48.00,0.00,0.00,0,1,4,2,7,0.029
SC_lobster,Swami's State Marine Conservation Area,2012,4,Inside,9.4,6.1,50.00,5.25,11.00,28.75,3.55,0.296,2.75,0.25,2.85,0.05,6.55,1.00,80.25,0.00,0.25,0,0,0,1,1,0.004
SC_lobster,Swami's State Marine Conservation Area,2012,5,Inside,8.7,8.0,89.47,2.63,1.05,6.84,1.1,0.092,0.00,0.00,5.50,6.00,0.00,0.00,83.50,0.00,0.00,0,0,1,1,2,0.008
SC_lobster,Swami's State Marine Conservation Area,2012,6,Inside,8.1,3.0,87.50,4.00,0.00,8.50,0.45,0.038,0.50,0.00,2.50,11.00,4.00,0.00,74.00,0.00,0.00,0,1,4,1,6,0.025
SC_lobster,Swami's State Marine Conservation Area,2012,7,Inside,11.3,2.9,54.50,0.00,0.00,45.50,1.35,0.113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1,1,0,2,0.008
SC_lobster,Swami's State Marine Conservation Area,2012,8,Inside,9.4,1.6,45.00,0.10,0.00,54.90,2.25,0.188,0.00,0.80,0.10,0.00,0.00,0.60,51.50,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Swami's State Marine Conservation Area,2012,9,Inside,9.5,0.0,46.50,0.00,0.35,53.15,1.9,0.158,0.00,0.60,0.40,0.25,0.55,3.25,86.00,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Swami's State Marine Conservation Area,2012,10,Inside,7.8,1.7,86.00,3.00,6.00,5.00,0.3,0.025,45.00,0.00,0.00,34.75,7.50,0.50,6.50,0.00,0.00,0,0,31,5,36,0.150
SC_lobster,Swami's State Marine Conservation Area,2012,11,Inside,7.8,1.4,68.00,1.00,0.00,31.00,1.65,0.138,0.00,0.00,35.00,34.50,9.50,0.00,36.50,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Swami's State Marine Conservation Area,2012,12,Inside,7.8,0.8,58.50,2.50,12.75,24.00,0.7,0.058,8.75,0.00,21.75,35.50,5.50,0.00,31.50,0.00,0.00,0,1,1,0,2,0.008
SC_lobster,Swami's State Marine Conservation Area,2013,13,Inside,9.9,0.0,4.50,1.00,0.00,94.50,0.25,0.021,0.00,0.50,1.50,0.50,0.00,0.50,21.25,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Swami's State Marine Conservation Area,2013,14,Inside,10.8,0.0,23.50,4.00,0.00,72.50,1.1,0.092,0.00,0.00,0.10,0.00,0.00,0.00,32.00,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Swami's State Marine Conservation Area,2013,15,Inside,8.2,1.3,53.25,0.50,0.00,46.25,2.6,0.217,0.00,0.00,18.00,19.00,1.00,0.00,36.50,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Swami's State Marine Conservation Area,2013,16,Inside,8.8,1.2,50.25,1.50,0.00,48.25,3.45,0.288,0.00,0.00,19.25,4.00,1.25,0.00,43.50,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Swami's State Marine Conservation Area,2013,17,Inside,9.3,0.0,42.50,3.00,0.00,54.50,1.45,0.121,0.00,0.50,5.00,1.00,0.00,0.00,39.50,0.00,0.50,0,1,0,0,1,0.004
SC_lobster,Swami's State Marine Conservation Area,2013,18,Inside,12.3,1.2,52.75,6.75,0.50,40.00,1.75,0.146,2.00,12.50,3.50,2.50,0.00,0.00,24.25,0.00,0.50,1,9,10,4,24,0.100
SC_lobster,Swami's State Marine Conservation Area,2012,1,Outside,11.3,5.0,86.50,0.00,13.50,0.00,3,0.250,0.00,2.25,2.25,0.50,0.50,45.25,5.00,0.00,0.00,0,4,2,3,9,0.038
SC_lobster,Swami's State Marine Conservation Area,2012,2,Outside,8.0,3.8,92.00,0.00,7.50,0.50,0.85,0.071,0.00,0.00,0.00,4.00,4.50,1.00,15.25,0.00,0.00,0,4,6,2,12,0.050
SC_lobster,Swami's State Marine Conservation Area,2012,3,Outside,7.1,4.4,86.00,2.00,0.00,11.50,1.4,0.117,0.00,0.00,1.15,5.15,0.50,2.75,62.75,0.00,0.00,0,1,3,0,4,0.017
SC_lobster,Swami's State Marine Conservation Area,2012,4,Outside,7.2,5.4,95.50,2.50,0.00,2.00,2.25,0.188,0.00,0.10,2.00,6.70,0.50,1.00,41.50,0.00,0.00,0,2,1,0,3,0.013
SC_lobster,Swami's State Marine Conservation Area,2012,5,Outside,8.0,1.3,58.42,0.53,38.42,2.63,0.55,0.046,0.25,6.00,5.00,44.75,35.50,0.00,12.75,0.00,0.00,0,0,2,1,3,0.013
SC_lobster,Swami's State Marine Conservation Area,2012,6,Outside,7.2,13.5,71.50,0.00,9.50,20.00,3,0.250,0.00,6.50,0.00,61.00,1.50,0.75,19.50,0.00,0.00,0,0,5,1,6,0.025
SC_lobster,Swami's State Marine Conservation Area,2012,7,Outside,8.0,10.3,78.00,0.25,5.25,16.50,1.4,0.117,0.00,0.00,0.00,41.00,19.50,0.25,29.50,0.00,0.00,0,11,11,1,23,0.096
SC_lobster,Swami's State Marine Conservation Area,2012,8,Outside,5.3,4.9,30.00,0.00,34.00,36.50,0,0.000,0.00,0.00,0.55,31.50,0.00,0.00,0.00,0.00,25.00,0,3,6,3,12,0.050
SC_lobster,Swami's State Marine Conservation Area,2012,9,Outside,4.9,8.3,13.50,0.00,33.00,54.00,0,0.000,0.50,0.00,0.50,17.25,0.00,0.00,12.50,0.00,38.25,0,6,9,4,19,0.079
SC_lobster,Swami's State Marine Conservation Area,2012,10,Outside,6.9,10.3,33.50,0.00,49.00,17.00,2.95,0.246,0.00,0.00,0.25,21.25,19.75,0.50,64.50,0.00,0.00,0,2,5,1,8,0.033
SC_lobster,Swami's State Marine Conservation Area,2012,11,Outside,6.6,3.8,29.50,0.50,45.00,22.50,2.1,0.175,0.00,0.50,0.50,61.00,9.00,0.50,44.75,0.00,1.00,0,2,7,2,11,0.046
SC_lobster,Swami's State Marine Conservation Area,2012,12,Outside,4.6,4.6,58.50,0.00,3.00,38.50,0.2,0.017,0.00,0.00,3.50,35.75,0.00,0.00,37.50,0.00,41.00,0,0,12,4,16,0.067
SC_lobster,Swami's State Marine Conservation Area,2012,13,Outside,4.4,1.5,19.21,0.00,5.79,75.00,0,0.000,0.00,0.00,0.00,10.25,0.00,0.00,5.50,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Swami's State Marine Conservation Area,2012,14,Outside,7.8,2.7,93.25,0.50,2.25,4.00,3.75,0.313,0.00,0.00,10.50,16.75,20.50,4.75,63.00,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,Swami's State Marine Conservation Area,2012,15,Outside,7.1,3.4,89.00,0.00,2.00,9.00,3.7,0.308,0.00,0.00,17.50,15.00,3.25,2.25,46.00,0.00,0.00,1,0,0,0,1,0.004
SC_lobster,Swami's State Marine Conservation Area,2013,16,Outside,7.0,4.1,77.50,0.00,4.25,18.25,1.45,0.121,1.25,0.00,4.00,56.25,1.75,0.00,40.00,3.00,0.00,0,6,11,0,17,0.071
SC_lobster,Swami's State Marine Conservation Area,2013,17,Outside,7.6,2.0,60.75,0.25,0.00,39.00,3.45,0.288,0.00,0.50,11.75,45.75,0.00,0.00,36.50,1.50,0.00,1,2,2,1,6,0.025
SC_lobster,Swami's State Marine Conservation Area,2013,18,Outside,9.0,2.7,50.50,0.75,0.00,48.75,2.35,0.196,0.00,0.00,5.00,18.50,0.00,0.00,74.50,0.00,3.00,0,9,4,2,15,0.063
SC_lobster,Swami's State Marine Conservation Area,2013,19,Outside,8.8,0.3,15.75,0.00,0.00,84.25,0.25,0.021,0.00,0.00,0.75,5.00,0.00,0.00,22.00,0.00,0.50,0,1,0,0,1,0.004
SC_lobster,Swami's State Marine Conservation Area,2013,20,Outside,8.8,0.2,48.75,0.00,3.00,48.25,1.45,0.121,0.00,0.00,4.25,26.85,0.00,0.00,59.50,0.00,1.00,0,9,5,0,14,0.058
SC_lobster,Swami's State Marine Conservation Area,2013,21,Outside,9.3,2.7,45.75,3.50,12.00,38.75,2.2,0.183,0.00,0.00,6.25,5.75,0.00,0.00,60.25,0.00,0.50,3,17,13,8,41,0.171
